chamber,district,party,candidate,classification_source
Senate,1,Republican,Chip Neiman,https://bwar.vote/freedom-caucus/
Senate,5,Republican,Ben Hornok,https://bwar.vote/freedom-caucus/
Senate,6,Republican,Roy Birt,https://bwar.vote/freedom-caucus/
Senate,19,Republican,Paul Hoeft,https://bwar.vote/freedom-caucus/
Senate,21,Republican,Ken Pendergraft,https://bwar.vote/freedom-caucus/
Senate,23,Republican,Abby Angelos,https://bwar.vote/freedom-caucus/
Senate,25,Republican,Lisa Wilson,https://bwar.vote/freedom-caucus/
Senate,31,Republican,Daniel J. Singh,https://bwar.vote/freedom-caucus/
House,3,Republican,Earl Collier,https://bwar.vote/freedom-caucus/
House,4,Republican,Jeremy Haroldson,https://bwar.vote/freedom-caucus/
House,5,Republican,Karen Weber,https://bwar.vote/freedom-caucus/
House,6,Republican,Tomi Strock,https://bwar.vote/freedom-caucus/
House,8,Republican,Steve Johnson,https://bwar.vote/freedom-caucus/
House,9,Republican,"Exie R. Brown, Jr.",https://bwar.vote/freedom-caucus/
House,11,Republican,Paul Wing,https://bwar.vote/freedom-caucus/
House,12,Republican,Clarence Styvar,https://bwar.vote/freedom-caucus/
House,18,Republican,Scott Heiner,https://bwar.vote/freedom-caucus/
House,19,Republican,Joe Webb,https://bwar.vote/freedom-caucus/
House,24,Republican,Nina Webber,https://bwar.vote/freedom-caucus/
House,25,Republican,Matthew R Legler,https://bwar.vote/freedom-caucus/
House,26,Republican,Dalton Banks,https://bwar.vote/freedom-caucus/
House,28,Republican,Carlin Jones,https://bwar.vote/freedom-caucus/
House,29,Republican,James Temple,https://bwar.vote/freedom-caucus/
House,30,Republican,Mark Jennings,https://bwar.vote/freedom-caucus/
House,31,Republican,John W. Bear,https://bwar.vote/freedom-caucus/
House,34,Republican,Pepper L Ottman,https://bwar.vote/freedom-caucus/
House,35,Republican,Tony Locke,https://bwar.vote/freedom-caucus/
House,37,Republican,Ross Schriftman,https://bwar.vote/freedom-caucus/
House,38,Republican,Jayme Lien,https://bwar.vote/freedom-caucus/
House,41,Republican,Gary Brown,https://bwar.vote/freedom-caucus/
House,43,Republican,Ann Lucas,https://bwar.vote/freedom-caucus/
House,46,Republican,Ocean Andrew,https://bwar.vote/freedom-caucus/
House,48,Republican,Darin McCann,https://bwar.vote/freedom-caucus/
House,49,Republican,Robert Wharff,https://bwar.vote/freedom-caucus/
House,51,Republican,Laurie Bratten,https://bwar.vote/freedom-caucus/
House,52,Republican,Bill Fortner,https://bwar.vote/freedom-caucus/
House,53,Republican,Christopher R Knapp,https://bwar.vote/freedom-caucus/
House,54,Republican,Jeff Martin,https://bwar.vote/freedom-caucus/
House,56,Republican,Pete Fox,https://bwar.vote/freedom-caucus/
House,57,Republican,Jeanette Ward,https://bwar.vote/freedom-caucus/
House,58,Republican,Bill Allemand,https://bwar.vote/freedom-caucus/
House,59,Republican,Neil Jeske,https://bwar.vote/freedom-caucus/
House,60,Republican,Marlene Brady,https://bwar.vote/freedom-caucus/
House,62,Republican,Kevin J. Campbell,https://bwar.vote/freedom-caucus/
