category,office,party,candidate,scope
Federal,United States Senator,Republican,Harriet Hageman,All Sheridan County
Federal,United States Senator,Republican,Jill M Edwards,All Sheridan County
Federal,United States Senator,Republican,Jimmy Skovgard,All Sheridan County
Federal,United States Senator,Republican,John Holtz,All Sheridan County
Federal,United States Senator,Republican,Sam Mead,All Sheridan County
Federal,United States Senator,Democratic,Billy Benavidez,All Sheridan County
Federal,United States Senator,Democratic,James Byrd,All Sheridan County
Federal,United States Representative,Republican,Bo Biteman,All Sheridan County
Federal,United States Representative,Republican,Chuck Gray,All Sheridan County
Federal,United States Representative,Republican,David Giralt,All Sheridan County
Federal,United States Representative,Republican,Jillian Balow,All Sheridan County
Federal,United States Representative,Republican,Keith B. Goodenough,All Sheridan County
Federal,United States Representative,Republican,Kevin Christensen,All Sheridan County
Federal,United States Representative,Republican,Reid Rasner,All Sheridan County
Federal,United States Representative,Republican,Richard Dodson,All Sheridan County
Federal,United States Representative,Republican,Steve Friess,All Sheridan County
Federal,United States Representative,Democratic,Elena Del Real,All Sheridan County
Federal,United States Representative,Democratic,Lisa Kinney,All Sheridan County
Statewide,Governor,Republican,Brent Bien,All Sheridan County
Statewide,Governor,Republican,Curt Blake,All Sheridan County
Statewide,Governor,Republican,Eric Barlow,All Sheridan County
Statewide,Governor,Republican,Megan Degenfelder,All Sheridan County
Statewide,Governor,Democratic,Kenneth R. Casner,All Sheridan County
Statewide,Secretary of State,Republican,CJ Young,All Sheridan County
Statewide,Secretary of State,Republican,Qwenton Eagle Oviatt,All Sheridan County
Statewide,Secretary of State,Republican,Rachel Williams,All Sheridan County
Statewide,Secretary of State,Republican,Robert Short,All Sheridan County
Statewide,Secretary of State,Democratic,Bryan McCarty,All Sheridan County
Statewide,State Auditor,Republican,Kristi Racines,All Sheridan County
Statewide,State Treasurer,Republican,Curt Meier,All Sheridan County
Statewide,State Treasurer,Republican,Scott Smith,All Sheridan County
Statewide,Superintendent of Public Instruction,Republican,Chad Auer,All Sheridan County
Statewide,Superintendent of Public Instruction,Republican,Steve Harshman,All Sheridan County
Statewide,Superintendent of Public Instruction,Republican,Tom Kelly,All Sheridan County
Statewide,Superintendent of Public Instruction,Democratic,Ana Cordova,All Sheridan County
Statewide,Superintendent of Public Instruction,Democratic,"Sergio A. Maldonado, Sr.",All Sheridan County
Legislature,State Senate District 21,Republican,Ken Pendergraft,SD 21 voters
Legislature,State Senate District 21,Republican,Melissa Butcher,SD 21 voters
Legislature,State House District 29,Republican,James Temple,HD 29 voters
Legislature,State House District 29,Republican,Myca Sturtevant,HD 29 voters
Legislature,State House District 29,Republican,Noll Roberts,HD 29 voters
Legislature,State House District 30,Republican,Mark Jennings,HD 30 voters
Legislature,State House District 30,Republican,Ryan Koltiska,HD 30 voters
Legislature,State House District 40,Republican,Marilyn Connolly,HD 40 voters
Legislature,State House District 40,Republican,Mark Jones,HD 40 voters
Legislature,State House District 51,Republican,Laurie Bratten,HD 51 voters
Legislature,State House District 51,Republican,Susan Bigelow,HD 51 voters
County,County Commissioner,Republican,Christi Haswell,All Sheridan County
County,County Commissioner,Republican,Dennis Fox,All Sheridan County
County,County Commissioner,Republican,Dustin Bates,All Sheridan County
County,County Commissioner,Republican,Glenn Drummond,All Sheridan County
County,County Commissioner,Republican,Harley Shuck,All Sheridan County
County,County Commissioner,Republican,Holly Jennings,All Sheridan County
County,County Commissioner,Republican,James R. Schellinger,All Sheridan County
County,County Commissioner,Republican,Karla Kaley,All Sheridan County
County,County Commissioner,Republican,Lee Ackerley,All Sheridan County
County,County Clerk and Recorder,Republican,Christine Temple,All Sheridan County
County,County Clerk and Recorder,Republican,Dylan Dalton,All Sheridan County
County,County Clerk and Recorder,Republican,Eda Schunk Thompson,All Sheridan County
County,County Sheriff,Republican,Kenneth Howard Fitzpatrick,All Sheridan County
County,County Sheriff,Republican,William Levi Dominguez,All Sheridan County
County,County Coroner,Republican,Kevin Sessions,All Sheridan County
County,County Coroner,Republican,Robert C. Byrd,All Sheridan County
County,Clerk of District Court,Republican,Rene Botten,All Sheridan County
County,County Treasurer,Republican,Katie Araas,All Sheridan County
County,County Assessor,Republican,Korkie Knudtson,All Sheridan County
County,County Attorney,Republican,Dianna Bennett,All Sheridan County
Municipal,Sheridan City Council,Nonpartisan,Amber C. Horsley,City of Sheridan voters
Municipal,Sheridan City Council,Nonpartisan,Andrew Patceg,City of Sheridan voters
Municipal,Sheridan City Council,Nonpartisan,Greg Luhman,City of Sheridan voters
Municipal,Sheridan City Council,Nonpartisan,Harry Pollak,City of Sheridan voters
Municipal,Sheridan City Council,Nonpartisan,Nephi John Cole,City of Sheridan voters
Municipal,Sheridan City Council,Nonpartisan,Terry Weitzel,City of Sheridan voters
Municipal,Dayton Mayor,Nonpartisan,Bret N. Barney,Town of Dayton voters
Municipal,Dayton Mayor,Nonpartisan,Hanle Visser,Town of Dayton voters
Municipal,Dayton Town Council,Nonpartisan,Angela Norton,Town of Dayton voters
Municipal,Dayton Town Council,Nonpartisan,Aric Rees,Town of Dayton voters
Municipal,Dayton Town Council,Nonpartisan,Guy Mitchell,Town of Dayton voters
Municipal,Dayton Town Council,Nonpartisan,Howard P. Hill,Town of Dayton voters
Municipal,Dayton Town Council,Nonpartisan,Laurie Walters-Clark,Town of Dayton voters
Municipal,Dayton Town Council,Nonpartisan,Lisa Chase,Town of Dayton voters
Municipal,Dayton Town Council,Nonpartisan,Robert (Bobby) Logan,Town of Dayton voters
Municipal,Ranchester Mayor,Nonpartisan,Bryan Helferich,Town of Ranchester voters
Municipal,Ranchester Mayor,Nonpartisan,Jessica Weaver,Town of Ranchester voters
Municipal,Ranchester Town Council,Nonpartisan,Richard Hofmeier,Town of Ranchester voters
Municipal,Ranchester Town Council,Nonpartisan,Richard Rick Brown,Town of Ranchester voters
Municipal,Ranchester Town Council,Nonpartisan,Terry Roelfsema,Town of Ranchester voters
Municipal,Ranchester Town Council,Nonpartisan,Tim Maze,Town of Ranchester voters
