office,party,candidate,is_fc
United States Senator,Republican,Harriet Hageman,false
United States Senator,Republican,Jill M Edwards,false
United States Senator,Republican,Jimmy Skovgard,false
United States Senator,Republican,John Holtz,false
United States Senator,Republican,Sam Mead,false
United States Senator,Democratic,Billy Benavidez,false
United States Senator,Democratic,James Byrd,false
United States Representative,Republican,Bo Biteman,false
United States Representative,Republican,Chuck Gray,false
United States Representative,Republican,David Giralt,false
United States Representative,Republican,Frank Chapman,false
United States Representative,Republican,Jillian Balow,false
United States Representative,Republican,Keith B. Goodenough,false
United States Representative,Republican,Kevin Christensen,false
United States Representative,Republican,Reid Rasner,false
United States Representative,Republican,Richard Dodson,false
United States Representative,Republican,Steve Friess,false
United States Representative,Democratic,Elena Del Real,false
United States Representative,Democratic,Lisa Kinney,false
Governor,Republican,Brent Bien,false
Governor,Republican,Curt Blake,false
Governor,Republican,Eric Barlow,false
Governor,Republican,Megan Degenfelder,false
Governor,Democratic,Kenneth R. Casner,false
Secretary of State,Republican,CJ Young,false
Secretary of State,Republican,Qwenton Eagle Oviatt,false
Secretary of State,Republican,Rachel Williams,true
Secretary of State,Republican,Robert Short,false
Secretary of State,Democratic,Bryan McCarty,false
State Auditor,Republican,Kristi Racines,false
State Treasurer,Republican,Curt Meier,false
State Treasurer,Republican,Scott Smith,true
Superintendent of Public Instruction,Republican,Chad Auer,false
Superintendent of Public Instruction,Republican,Steve Harshman,false
Superintendent of Public Instruction,Republican,Tom Kelly,true
Superintendent of Public Instruction,Democratic,Ana Cordova,false
Superintendent of Public Instruction,Democratic,"Sergio A. Maldonado, Sr.",false
